col1,col2,modifier_indicator
00100,99469,0
00100,99469,0
00100,99471,0
00100,99471,0
00100,99472,0
00100,99472,0
00100,99475,0
00100,99475,0
00100,99476,0
00100,99476,0
00100,99477,0
00100,99477,0
00100,99478,0
00100,99478,0
00100,99479,0
00100,99479,0
00100,99480,0
00100,99480,0
00100,99483,0
00100,99483,0
00100,99485,0
00100,99497,0
00100,99497,0
00100,99497,0
00102,01995,0
00102,01996,1
00102,31505,1
00102,31515,1
00102,31527,1
00102,31622,1
00102,31634,1
00102,31645,1
00102,31647,1
00102,31652,0
00102,31653,0
00102,36000,1
00102,36005,1
00102,36010,0
00102,36011,1
00102,36012,1
00102,36013,1
00102,36014,1
00102,36015,1
00102,36400,1
00102,36405,1
00102,36406,1
00102,36410,1
00102,36420,1
00102,36425,1
00102,36430,1
00102,36440,1
00102,36591,0
00102,36592,0
00102,36600,1
00102,36640,1
00102,43752,1
00102,43753,1
00102,43754,1
00102,61026,1
00102,61055,1
00102,62274,1
00102,62275,1
00102,62276,1
00102,62277,1
00102,62278,1
00102,62279,1
00102,62280,1
00102,62281,1
00102,62282,1
00102,62284,1
00102,62310,1
00102,62311,1
00102,62318,1
00102,62319,1
00102,62320,1
00102,62321,1
00102,62322,1
00102,62323,1
00102,62324,1
00102,62325,1
00102,62326,1
00102,62327,1
00102,64400,1
00102,64402,1
00102,64405,1
00102,64408,1
00102,64410,1
00102,64412,1
00102,64413,1
00102,64415,1
00102,64416,1
00102,64417,1
00102,64418,1
00102,64420,1
00102,64421,1
00102,64425,1
00102,64430,1
00102,64435,1
00102,64440,1
00102,64441,1
00102,64442,1
00102,64443,0
00102,64445,1
00102,64446,1
00102,64447,1
00102,64448,1
00102,64449,1
00102,64450,1
00102,64451,1
00102,64454,1
00102,64461,1
00102,64463,1
00102,64466,1
00102,64467,1
00102,64468,1
00102,64469,1
00102,64470,1
00102,64473,1
00102,64474,1
00102,64475,1
00102,64479,1
00102,64483,1
00102,64486,1
00102,64487,1
00102,64488,1
00102,64489,1
00102,64490,1
00102,64493,1
00102,64505,1
00102,64508,1
00102,64510,1
00102,64517,1
00102,64520,1
00102,64530,1
00102,64550,1
00102,64553,1
00102,64555,1
00102,64560,1
00102,64565,1
00102,67500,1
00102,69705,1
00102,69706,1
00102,76000,1
00102,76001,1
00102,76970,1
00102,76986,0
00102,76998,0
00102,77002,0
00102,80002,1
00102,80003,1
00102,80004,1
00102,80005,1
00102,80006,1
00102,80007,1
00102,80008,1
00102,80009,1
00102,80010,1
00102,80011,1
00102,80012,1
00102,80016,1
00102,80018,1
00102,80019,1
00102,80050,1
00102,80055,1
00102,80058,0
00102,80059,0
00102,80061,0
00102,80072,0
00102,80090,0
00102,80091,0
00102,80092,0
00102,80150,0
00102,80152,0
00102,80154,0
00102,80156,0
00102,80158,0
00102,80160,0
00102,80162,0
00102,80164,0
00102,80166,0
00102,80168,0
00102,80170,0
00102,80172,0
00102,80174,0
00102,80176,0
00102,80178,0
00102,80182,0
00102,80184,0
00102,80185,0
00102,80186,0
00102,80188,0
00102,80190,0
00102,80192,0
00102,80194,0
00102,80196,0
00102,80198,0
00102,80200,0
00102,80202,0
00102,81000,1
00102,81002,1
00102,81003,1
00102,81005,1
00102,81007,0
00102,81015,1
00102,81025,0
00102,81050,0
00102,82000,0
00102,82003,0
00102,82009,0
00102,82010,0
00102,82013,1
00102,82024,0
00102,82030,0
